Brand,Product name (English),Product name (Korean)
Starbucks,Starbucks Caffè Verona Whole Bean Coffee 1.13kg,"스타벅스 카페베로나 원두커피,홀빈(분쇄안함),홀빈(분쇄안함),1.13kg,1.13kg,1개,1개"
Rinnai,Rinnai 2-Burner Gas Stove (Cream White),"린나이 가스레인지 2구 (전면AA형) 건전지 간편교체 가스렌지 2구,{""색상"":""(전면AA형)크림화이트""},LNG,LNG"
Electrolux,Electrolux Ultimate Taste 700 Espresso Machine E7EC1-600P,"일렉트로룩스 얼티밋 테이스트 700 에스프레소 머신,E7EC1-600P,E7EC1-600P,블랙펄,블랙펄"
Otree,O'Tree Gourmet Nuts Limited Edition (25g × 30 Pack),오트리 고메넛츠 리미티드 '25 (25g x 30입) 프리미엄 하루견과
AMT,AMT Sharff 20cm Stainless Steel Stockpot 316Ti,AMT 샤프 20cm 양수웍 316Ti 스텐 통5중
Panasonic,Panasonic ER-1431 Rechargeable Hair Clipper,파나소닉 ER-1431
De'Longhi,De'Longhi ECP35.31 Espresso Machine,드롱기 ECP35.31
Nintendo,Nintendo EA SPORTS FC 26 (Switch),"닌텐도 EASPORTS 스위치 FC 26,단일상품,단일상품"
Cerasel,CeraCell Nighttime Patch 14 Pack,"케라셀 나이트타임 패치 14p,14g,14g,1개,1개"
Glaco,Soft99 Glaco Oil Film Remover G-47 (100ml),"소프트99 글라코 유막 제거제 G-47,100ml,100ml,1개,1개"
Logitech,Logitech Pebble M350 Wireless Mouse (Black),로지텍 M350 PEBBLE (정품) (블랙)
Instax,Instax Mini Film 60-Pack,"인스탁스 미니 필름 60p 세트,단일상품,단일상품,1세트,1세트"
Amazfit,Amazfit T-Rex 3 Smartwatch (Lava),"어메이즈핏 스마트워치 T-REX 3,GPS + 블루투스,GPS + 블루투스,3.81cm,3.81cm,Lava,Lava"
TP-Link,TP-Link Bluetooth 5.3 Nano USB Adapter UB500,"티피링크 블루투스 5.3 나노 USB 어댑터,UB500,UB500,혼합색상,혼합색상,1개,1개"
Instax,Instax Mini Film 40-Pack + Magnetic Mini Frames,"인스탁스 미니필름 40p + 미니 자석 액자,단일 상품,단일 상품,1세트,1세트"
Narwal,Narwal Freo Z Ultra AI Robot Vacuum + Mop (White),"나르왈 Freo Z Ultra 스마트 AI 올인원 듀얼 RGB 카메라 흡입 물걸레 겸용 로봇청소기 고객직접설치,단일상품,단일상품,화이트,화이트"
Kleenex,Kleenex Strong Natural Pulp Pull-Out Kitchen Towels (150 Sheets × 8 Pack),"크리넥스 스트롱 뽑아쓰는 천연펄프 키친타올,150매,150매,8개,8개"
ECOVACS,ECOVACS Winbot W2 Omni Window Cleaning Robot,"ECOVACS 윈봇 W2 옴니 창문 로봇 청소기 WG821-11,WG821-11EG,WG821-11EG,혼합색상,혼합색상"
Englanderr,Antibes Wood Storage Bed Frame (Walnut Large King),앙티브 템바보드 원목 수납 침대프레임 SS Q LK(월넛/화이트) 월넛-라지킹(LK)
Kenwood,Kenwood Stand Mixer KVL4100S,"켄우드 키친머신 반죽기,KVL4100S,KVL4100S"
Lotus,Lotus Biscoff Twin Pack Biscuits (72-Pack),"로투스 비스코프 트윈팩 비스켓,25g,25g,72개,72개"
Greenies,Greenies Tiny Original 1.02kg + Treat Bonus,[슈퍼적립] 그리니즈 티니 오리지널 130개입 1.02kg +option+ 그리니즈 티니 오리지널 1.02kg :: 01.시저홀썸볼85g(맛랜덤)
Xiaomi,Xiaomi Smart Evaporative Humidifier CJSJSQ02XYKR,"샤오미 스마트 기화식 가습기,CJSJSQ02XYKR,CJSJSQ02XYKR,화이트,화이트"
