"index","brand","product_name","status","attempts","id","error","started_at","ended_at"
"1","레어로우","스틸 모듈 캐비닛","ok","1","78465bb4-131b-4afe-9e28-b8ddc707736e","","2026-02-11T06:19:26.652Z","2026-02-11T06:20:01.758Z"
"2","잭슨카멜레온","페블 모듈 소파","ok","1","0581fe12-504f-4208-810a-7fb7d2e5c5ac","","2026-02-11T06:20:03.272Z","2026-02-11T06:20:35.197Z"
"3","일광전구","스노우맨 테이블램프","ok","1","7ba271aa-9f7e-467a-8864-61ff1cb81a84","","2026-02-11T06:20:36.711Z","2026-02-11T06:21:02.292Z"
"4","루미르","LUMIR C 무드 램프","ok","1","a14303c5-3fa6-4618-895b-2d4663c73928","","2026-02-11T06:21:03.807Z","2026-02-11T06:21:34.041Z"
"5","뉴트리코어","비타민D","ok","1","1f34b525-e5c0-4191-b0c6-9ae573c8c3b5","","2026-02-11T06:21:35.555Z","2026-02-11T06:22:03.985Z"
"6","트루엔","오메가3 맥스","ok","1","49cf6f63-16c2-45e7-a7f1-49189017aa1b","","2026-02-11T06:22:05.509Z","2026-02-11T06:22:38.249Z"
"7","오쿠","슬림 식품건조기","ok","1","88f1c923-d202-4c96-82f3-094854d5b0b5","","2026-02-11T06:22:39.761Z","2026-02-11T06:23:39.719Z"
"8","보아르","V30 에어프라이어","ok","1","55be21ca-863b-4861-a19d-a5d103c87614","","2026-02-11T06:23:41.226Z","2026-02-11T06:23:50.420Z"
"9","미로","MH7000 초음파 가습기","ok","1","6e47e339-b772-42cf-b5a7-d671cd30be8c","","2026-02-11T06:23:51.927Z","2026-02-11T06:24:15.670Z"
"10","루메나","FAN PRIME 3 무선선풍기","ok","1","e6e9c343-3ff3-4142-8f16-11f3f3d759eb","","2026-02-11T06:24:17.171Z","2026-02-11T06:24:43.389Z"
"11","아렌시아","프레시 그린 떡솝","ok","1","c29448f4-fde7-49a0-b995-49d20173036a","","2026-02-11T06:24:44.900Z","2026-02-11T06:25:08.597Z"
"12","비플레인","시카풀 앰플","ok","1","e5f0892d-86fb-4031-84eb-3d64f5566f18","","2026-02-11T06:25:10.108Z","2026-02-11T06:25:34.308Z"
"13","드파운드","클래식 로고 숄더백","ok","1","8f24bcf3-cdd0-4af0-a49f-6bbab69718c3","","2026-02-11T06:25:35.811Z","2026-02-11T06:25:54.701Z"
"14","안다르","에어쿨링 레깅스","ok","1","d6e25c5d-5bc7-467f-b61b-30c5ff6a91f8","","2026-02-11T06:25:56.209Z","2026-02-11T06:26:39.849Z"
"15","아날로그키퍼","타임로그 다이어리","ok","1","30ac3022-39ff-4c66-9eed-f7c7199d4594","","2026-02-11T06:26:41.367Z","2026-02-11T06:27:00.201Z"
"16","닥터다니엘","커큐민","ok","1","6a72a521-a6e7-44a9-a458-098ee0a2b2c1","","2026-02-11T06:27:01.701Z","2026-02-11T06:27:40.654Z"
"17","청담뉴트리션","포스파티딜세린","ok","1","ef2b56d6-fe7b-41cf-8c92-19e22f8e3d71","","2026-02-11T06:27:42.160Z","2026-02-11T06:28:14.760Z"
"18","보타니스트","보태니컬 샴푸","ok","1","9c0db75e-4e69-4b13-bc35-5ceb9f0ef2ab","","2026-02-11T06:28:16.269Z","2026-02-11T06:28:51.261Z"
"19","셀레티","dangling earrings","ok","1","b26a7a6c-b271-43fe-b3ec-4071c3861b50","","2026-02-11T06:28:52.768Z","2026-02-11T06:29:32.305Z"
"20","파크골프채","피닉스","ok","1","36416654-cbf2-4eb5-99bb-69b60a708105","","2026-02-11T06:29:33.816Z","2026-02-11T06:30:14.467Z"
"21","Magis","Chair One","ok","1","0bce40f2-2101-46c2-a612-322c44c85a20","","2026-02-11T06:30:15.980Z","2026-02-11T06:30:57.687Z"
