"brand","product_name_input","product_keyword1","product_keyword2","search_form_available","source_url","search_form_confirmed_url","item_rank","item_product_name","item_list_price","item_sale_price","item_url","item_image_src","item_keyword_used"
"Ziwi Peak","Air-Dried Beef Recipe","에어드라이소고기","Air-Dried Beef","false","https://ziwipets.co.kr/","","","","","","","",""
"Fazzini","Raso Sateen Duvet Cover","이불커버","Duvet Cover","false","https://www.fazzinihome.com","","","","","","","",""
"A.P.C.","Demi-Lune Bag","하프문백","Demi-Lune","true","https://www.apcstore.com","https://www.apcstore.com/search?q=%ED%95%98%ED%94%84%EB%AC%B8%EB%B0%B1","1","Demi-Lune Mini bag","390.00 €","195.00 €","https://www.apcstore.com/products/demi-lune-mini-bag-lzz-pxawv-f61392","https://www.apcstore.com/cdn/shop/files/PXAWV-F61392LZZ_00.webp?v=1765534644&width=2070","Demi-Lune"
"A.P.C.","Demi-Lune Bag","하프문백","Demi-Lune","true","https://www.apcstore.com","https://www.apcstore.com/search?q=%ED%95%98%ED%94%84%EB%AC%B8%EB%B0%B1","2","Demi-Lune bag","450.00 €","315.00 €","https://www.apcstore.com/products/demi-lune-bag-cai-pxcck-f61048","https://www.apcstore.com/cdn/shop/files/PXAWV-F61392LZZ_00.webp?v=1765534644&width=2070","Demi-Lune"
"A.P.C.","Demi-Lune Bag","하프문백","Demi-Lune","true","https://www.apcstore.com","https://www.apcstore.com/search?q=%ED%95%98%ED%94%84%EB%AC%B8%EB%B0%B1","3","Demi-Lune bag","470.00 €","329.00 €","https://www.apcstore.com/products/demi-lune-bag-lzz-pxbvp-f61048","https://www.apcstore.com/cdn/shop/files/PXAWV-F61392LZZ_00.webp?v=1765534644&width=2070","Demi-Lune"
"A.P.C.","Demi-Lune Bag","하프문백","Demi-Lune","true","https://www.apcstore.com","https://www.apcstore.com/search?q=%ED%95%98%ED%94%84%EB%AC%B8%EB%B0%B1","4","Demi-Lune Shoulder bag","410.00 €","","https://www.apcstore.com/products/demi-lune-shoulder-bag-rab-puacb-f61997","https://www.apcstore.com/cdn/shop/files/PXAWV-F61392LZZ_00.webp?v=1765534644&width=2070","Demi-Lune"
"A.P.C.","Demi-Lune Bag","하프문백","Demi-Lune","true","https://www.apcstore.com","https://www.apcstore.com/search?q=%ED%95%98%ED%94%84%EB%AC%B8%EB%B0%B1","5","Demi-Lune Shoulder bag","410.00 €","","https://www.apcstore.com/products/demi-lune-shoulder-bag-lzz-pxcax-f61997","https://www.apcstore.com/cdn/shop/files/PXAWV-F61392LZZ_00.webp?v=1765534644&width=2070","Demi-Lune"
"Susanne Kaufmann","Enzyme Exfoliator","효소 각질 제거제","Enzyme Exfoliator","true","https://www.susannekaufmann.com/","https://www.susannekaufmann.com/pages/search-results?q=%ED%9A%A8%EC%86%8C+%EA%B0%81%EC%A7%88+%EC%A0%9C%EA%B1%B0%EC%A0%9C","1","Enzyme Exfoliator","67€","","https://www.susannekaufmann.com/products/enzyme-exfoliator","https://www.susannekaufmann.com/cdn/shop/files/Packshot-EnzymeExfoliator50ml-open.jpg?v=1762360973&width=900","효소 각질 제거제"
"Susanne Kaufmann","Enzyme Exfoliator","효소 각질 제거제","Enzyme Exfoliator","true","https://www.susannekaufmann.com/","https://www.susannekaufmann.com/pages/search-results?q=%ED%9A%A8%EC%86%8C+%EA%B0%81%EC%A7%88+%EC%A0%9C%EA%B1%B0%EC%A0%9C","2","AHA Enzyme Body Lotion","68€","","https://www.susannekaufmann.com/products/aha-enzyme-body-lotion","https://www.susannekaufmann.com/cdn/shop/files/AHAEnzymeBodyLotion250ml.jpg?v=1762360970&width=1000","효소 각질 제거제"
"Susanne Kaufmann","Enzyme Exfoliator","효소 각질 제거제","Enzyme Exfoliator","true","https://www.susannekaufmann.com/","https://www.susannekaufmann.com/pages/search-results?q=%ED%9A%A8%EC%86%8C+%EA%B0%81%EC%A7%88+%EC%A0%9C%EA%B1%B0%EC%A0%9C","3","Advanced Anti-Ageing Rich Cream","110€","","https://www.susannekaufmann.com/products/advanced-anti-ageing-rich-cream","https://www.susannekaufmann.com/cdn/shop/files/Advanced_Anti_-_Ageing_Rich_Cream_-_Susanne_Kaufmann.png?v=1767595610&width=1000","효소 각질 제거제"
