"brand","total_rows","form_detected_rows","confirmed_url_rows","list_filled_rows","list_empty_rows","stop_stage","top_empty_reason","top_empty_reason_count","list_item_total","list_item_detail_like","list_item_non_detail","list_item_non_detail_pct","list_item_search","list_item_category","list_item_home_or_section","list_item_other","list_item_empty","bad_url_example"
"Epson","9","8","9",,"9","confirmed_but_no_list","no_products_after_parse","8","6","0","6","100","6","0","0","0","0","https://www.epson.co.kr/search/?keyword=Portable+Printer&q=%EB%AA%A8%EB%B0%94%EC%9D%BC+%ED%94%84%EB%A6%B0%ED%84%B0"
"AMT","6","0","0","0","6","form_detection_failed","search_form_not_confirmed","6","0","0","0","0","0","0","0","0","0",""
"WD","6","2","5","0","6","confirmed_but_no_list","no_products_after_parse","5","0","0","0","0","0","0","0","0","0",""
"ASUS","5","0","5","0","5","confirmed_but_no_list","no_products_after_parse","5","0","0","0","0","0","0","0","0","0",""
"Centrum","5","0","0","0","5","form_detection_failed","search_form_not_confirmed","5","0","0","0","0","0","0","0","0","0",""
"HP","5","0","4","0","5","confirmed_but_no_list","no_products_after_parse","4","0","0","0","0","0","0","0","0","0",""
"Tefal","5","5","5","0","5","confirmed_but_no_list","no_products_after_parse","5","0","0","0","0","0","0","0","0","0",""
"Instax","4","0","3","3","1","list_ok_detail_urls","search_form_not_confirmed","1","3","3","0","0","0","0","0","0","0",""
"Kleenex","4","0",,,"4","form_detection_failed","search_form_not_confirmed","3","10","10","0","0","0","0","0","0","0",""
"Midea","4","0","3","0","4","confirmed_but_no_list","no_products_after_parse","3","0","0","0","0","0","0","0","0","0",""
"Spam","4","3","3","0","4","confirmed_but_no_list","no_products_after_parse","3","0","0","0","0","0","0","0","0","0",""
"Acer","3","0","0","0","3","form_detection_failed","search_form_not_confirmed","3","0","0","0","0","0","0","0","0","0",""
"De'Longhi","3","0","3","0","3","confirmed_but_no_list","no_products_after_parse","3","0","0","0","0","0","0","0","0","0",""
"LEGO","3","3","3","3","0","list_ok_detail_urls","","0","30","30","0","0","0","0","0","0","0",""
"Lenovo","3",,,"0","3","form_detection_failed","search_form_not_confirmed","2","0","0","0","0","0","0","0","0","0",""
"Niko","3","0","0","0","3","form_detection_failed","search_form_not_confirmed","3","0","0","0","0","0","0","0","0","0",""
"Pepsi","3","0","3","3","0","list_present_but_url_quality_issue","","0","30","1","29","96.7","10","0","19","0","0","https://mall.lottechilsung.co.kr/products?keyword=%EC%A0%9C%EB%A1%9C"
"Philips","3",,"2","0","3","confirmed_but_no_list","no_products_after_parse","2","0","0","0","0","0","0","0","0","0",""
"Yamaha","3",,"3",,"3","confirmed_but_no_list","no_products_after_parse","2","5","0","5","100","5","0","0","0","0","https://shop.kr.yamaha.com/catalogsearch/result/?q=%EC%8B%A0%EB%94%94%EC%82%AC%EC%9D%B4%EC%A0%80"
"Amazfit","2","2","2","2","0","list_present_but_url_quality_issue","","0","11","10","1","9.1","0","1","0","0","0","https://amazfit.kr/product/%EC%96%B4%EB%A9%94%EC%9D%B4%EC%A6%88%ED%95%8F-%EB%B9%956-46mm-gps-%EC%8A%A4%EB%A7%88%ED%8A%B8%EC%9B%8C%EC%B9%98-%EB%B8%94%EB%9E%99%EC%B0%A8%EC%BD%9C%EB%9D%BC%EC%9D%B4%ED%8A%B8%EA%B7%B8%EB%A0%88%EC%9D%B4-bip6/50/category/57/display/1/"
"Artemide","2","0","0","0","2","form_detection_failed","search_form_not_confirmed","2","0","0","0","0","0","0","0","0","0",""
"Bandai","2","0","2","2","0","list_ok_detail_urls","","0","20","20","0","0","0","0","0","0","0",""
"Belkin","2","2","2","0","2","confirmed_but_no_list","no_products_after_parse","2","0","0","0","0","0","0","0","0","0",""
"Bioderma","2","2","2","2","0","list_present_but_url_quality_issue","","0","20","0","20","100","20","0","0","0","0","https://naosmall.kr/product/search.html?keyword=%ED%81%B4%EB%A0%8C%EC%A7%95%EC%9B%8C%ED%84%B0"
"Boral","2","0","0","0","2","form_detection_failed","search_form_not_confirmed","2","0","0","0","0","0","0","0","0","0",""
"Braun","2","0","2","0","2","confirmed_but_no_list","no_products_after_parse","2","0","0","0","0","0","0","0","0","0",""
"BRUNO","2","0","2","0","2","confirmed_but_no_list","no_products_after_parse","2","0","0","0","0","0","0","0","0","0",""
"Canon","2","0",,"0","2","form_detection_failed","no_products_after_parse","1","0","0","0","0","0","0","0","0","0",""
"Cenovis","2","0","0","0","2","form_detection_failed","search_form_not_confirmed","2","0","0","0","0","0","0","0","0","0",""
"Cetaphil","2",,,"0","2","form_detection_failed","no_products_after_parse","1","0","0","0","0","0","0","0","0","0",""
"Cobra Golf","2",,,,"2","form_detection_failed","search_form_not_confirmed","1","10","10","0","0","0","0","0","0","0",""
"Colgate","2","0",,"0","2","form_detection_failed","search_form_not_confirmed","1","0","0","0","0","0","0","0","0","0",""
"Del Monte","2","0","0","0","2","form_detection_failed","search_form_not_confirmed","2","0","0","0","0","0","0","0","0","0",""
"Dell","2","0","0","0","2","form_detection_failed","search_form_not_confirmed","2","0","0","0","0","0","0","0","0","0",""
"Dentiste","2","2","2",,"2","confirmed_but_no_list","no_products_after_parse","1","10","0","10","100","10","0","0","0","0","https://dentistestore.kr/product/search.html?keyword=%EC%B9%98%EC%95%BD"
"Dibea","2","2","2","2","0","list_present_but_url_quality_issue","","0","14","3","11","78.6","11","0","0","0","0","https://dibea.kr/search?keyword=%EB%AC%B4%EC%84%A0%EC%B2%AD%EC%86%8C%EA%B8%B0"
"DJI","2","2","2","0","2","confirmed_but_no_list","no_products_after_parse","2","0","0","0","0","0","0","0","0","0",""
"Downy","2","0","0","0","2","form_detection_failed","search_form_not_confirmed","2","0","0","0","0","0","0","0","0","0",""
"Dyson","2","0","0","0","2","form_detection_failed","search_form_not_confirmed","2","0","0","0","0","0","0","0","0","0",""
"Englanderr","2","2","2","2","0","list_ok_detail_urls","","0","18","18","0","0","0","0","0","0","0",""
"Georgia","2","0","2","2","0","list_present_but_url_quality_issue","","0","18","0","18","100","0","0","0","18","0","https://cokeplay.cocacola.co.kr/pointshop/goods"
"Gigabyte","2","0","2","0","2","confirmed_but_no_list","no_products_after_parse","2","0","0","0","0","0","0","0","0","0",""
"Logitech","2","0","2","0","2","confirmed_but_no_list","no_products_after_parse","2","0","0","0","0","0","0","0","0","0",""
"Magic Chef","2","0","2","0","2","confirmed_but_no_list","no_products_after_parse","2","0","0","0","0","0","0","0","0","0",""
"Mlekovita","2","0","0","0","2","form_detection_failed","search_form_not_confirmed","2","0","0","0","0","0","0","0","0","0",""
