"brand","product_name_input","row_id","created_at","product_result","failure_stage","expected_cause","error_reason","search_form_reason","search_form_available","search_form_confirmed_url","product_list_count","detail_url_count","non_detail_url_count","non_detail_url_example"
"3M","쓰리엠 테가덤 필름 1626W,10 x 12 cm,10 x 12 cm,50개입,50개입,1개,1개","dd689fcb-c915-467b-88b3-a15604245587","2026-02-12 13:33:44.798861+00","failed_no_product_list","search_form_detection","검색폼 또는 검색 결과 URL 확정 실패","search_form_not_confirmed","","","","0","0","0",""
"Acer","에이서 2025 프레데터 헬리오스 네오 16S AI 코어Ultra9 인텔 14세대 지포스 RTX 5070,블랙,블랙,PHN16S-71-97L7,PHN16S-71-97L7,1TB,1TB,32GB,Free DOS,Free DOS","0d2d8861-9045-42ae-979e-ba087b4c4aa5","2026-02-12 11:19:43.785346+00","failed_no_product_list","search_form_detection","검색폼 또는 검색 결과 URL 확정 실패","search_form_not_confirmed","","false","","0","0","0",""
"Acer","에이서 2025 프레데터 헬리오스 네오 18 AI 게이밍노트북 인텔 Ultra 9 275HX,블랙,블랙,PHN18-72-91UN,PHN18-72-91UN,1TB,1TB,32GB,32GB,WIN11 Home,WIN11 Home","647fd3c3-e711-40f5-9517-fb04f521d8a0","2026-02-12 13:16:22.864908+00","failed_no_product_list","search_form_detection","검색폼 또는 검색 결과 URL 확정 실패","search_form_not_confirmed","","false","","0","0","0",""
"Acer","에이서 2025 아스파이어 라이트 16 코어i7 인텔 13세대,실버,실버,512GB,512GB,16GB,16GB,Free DOS,Free DOS,AL16-52P-7164,AL16-52P-7164","cf3040f3-53c6-4ee6-8989-a939ceea3a2d","2026-02-12 14:28:36.429633+00","failed_no_product_list","search_form_detection","검색폼 또는 검색 결과 URL 확정 실패","search_form_not_confirmed","","false","","0","0","0",""
"Alpecin","알페신 카페인 샴푸 C1 1250ml","e5e21145-6aea-4ffd-a98e-85f9fff3041e","2026-02-12 13:33:08.630583+00","failed_no_product_list","search_form_detection","검색폼 또는 검색 결과 URL 확정 실패","search_form_not_confirmed","","","","0","0","0",""
"Amazfit","어메이즈핏 스마트워치 T-REX 3,GPS + 블루투스,GPS + 블루투스,3.81cm,3.81cm,Onyx,Onyx","020adca6-6f2e-4823-8d67-5620217dd8b1","2026-02-12 10:52:43.455284+00","success_detail_urls","","정상 수집","ok","","true","https://us.amazfit.com/search?q=Smartwatch","10","10","0",""
"Amazfit","어메이즈핏 Bip 6 (정품)","b4cbf667-099b-4e63-9bf8-c0def1703001","2026-02-12 12:41:25.446177+00","partial_success_bad_urls","url_mapping_stage","상품명/가격 파싱은 되었으나 URL이 검색/카테고리/섹션 링크로 매핑됨","ok","","true","https://amazfit.kr/product/search.html?keyword=Bip+6","1","0","1","https://amazfit.kr/product/%EC%96%B4%EB%A9%94%EC%9D%B4%EC%A6%88%ED%95%8F-%EB%B9%956-46mm-gps-%EC%8A%A4%EB%A7%88%ED%8A%B8%EC%9B%8C%EC%B9%98-%EB%B8%94%EB%9E%99%EC%B0%A8%EC%BD%9C%EB%9D%BC%EC%9D%B4%ED%8A%B8%EA%B7%B8%EB%A0%88%EC%9D%B4-bip6/50/category/57/display/1/"
"AMT","AMT 샤프 28cm 파티웍 316Ti 스텐 통5중","d1b46f3f-8746-41d9-b43c-3b1a40f8edc7","2026-02-12 10:59:28.490531+00","failed_no_product_list","search_form_detection","검색폼 또는 검색 결과 URL 확정 실패","search_form_not_confirmed","","","","0","0","0",""
"AMT","AMT 샤프 32cm 파티웍 316Ti 스텐 통5중","9d33a323-fadb-4caf-85d6-2316f22a43f4","2026-02-12 12:03:14.570959+00","failed_no_product_list","search_form_detection","검색폼 또는 검색 결과 URL 확정 실패","search_form_not_confirmed","","","","0","0","0",""
"AMT","AMT 샤프 통5중 316Ti 스텐 멀티쿠커 인덕션 냄비 22cm","9530443d-16e6-4d43-8a71-186ca779f597","2026-02-12 12:45:19.05347+00","failed_no_product_list","search_form_detection","검색폼 또는 검색 결과 URL 확정 실패","search_form_not_confirmed","","","","0","0","0",""
"AMT","AMT 샤프 18cm 스마트쿡 편수 냄비 316Ti 스텐 통5중","39393e6d-b04d-4bd9-ae56-9530d74c3032","2026-02-12 13:23:46.189423+00","failed_no_product_list","search_form_detection","검색폼 또는 검색 결과 URL 확정 실패","search_form_not_confirmed","","","","0","0","0",""
"AMT","AMT 샤프 24cm 양수웍 316Ti 스텐 통5중","d9dcea3f-1208-496e-8af6-44e8032e1114","2026-02-12 13:58:46.199116+00","failed_no_product_list","search_form_detection","검색폼 또는 검색 결과 URL 확정 실패","search_form_not_confirmed","","","","0","0","0",""
"AMT","AMT 샤프 22cm 양수웍 316Ti 스텐 통5중","b94fe42a-8d3f-4d67-ad76-84b537b239ef","2026-02-12 14:11:23.978168+00","failed_no_product_list","search_form_detection","검색폼 또는 검색 결과 URL 확정 실패","search_form_not_confirmed","","","","0","0","0",""
"Arm & Hammer","암앤해머 베이킹소다,6.12kg,6.12kg,1개,1개","11dc0916-c77e-4368-95b4-5a7d717d0f45","2026-02-12 13:32:41.911558+00","failed_no_product_list","search_form_detection","검색폼 또는 검색 결과 URL 확정 실패","search_form_not_confirmed","","","","0","0","0",""
"Artemide","공식수입사_톨로메오 메가 장스탠드 플로어조명 크림(무상설치,국내A/S) 42cm","c116ec99-4876-437b-b2c7-8f3485d809df","2026-02-12 11:08:45.941892+00","failed_no_product_list","search_form_detection","검색폼 또는 검색 결과 URL 확정 실패","search_form_not_confirmed","","","","0","0","0",""
"Artemide","공식수입사_톨로메오 메가 장스탠드 플로어조명 크림(무상설치,국내A/S) 36cm","0098b3f3-b6da-4b96-9f24-1b428fd2dddd","2026-02-12 13:51:15.14272+00","failed_no_product_list","search_form_detection","검색폼 또는 검색 결과 URL 확정 실패","search_form_not_confirmed","","","","0","0","0",""
"Astonish","[본사] 아스토니쉬 기름때 제거제 750ml 1+1 후드 가스렌지 전자렌지 인덕션 오븐 주방 찌든때","4ce02e71-5637-4a0a-b5a3-c445b78f752a","2026-02-12 14:34:51.656782+00","failed_no_product_list","parse_after_confirmed_url","확정 URL까지는 갔지만 페이지 구조/결과 상태(0건 포함)로 상품 리스트 추출 실패","no_products_after_parse","all_probe_failed","false","https://astonishkorea.com/product/search.html?search_detail_type=Grease+Remover","0","0","0",""
"ASUS","에이수스 2025 TUF 게이밍 F16 코어i7 인텔 14세대 지포스 RTX 5060,예거 그레이,예거 그레이,512GB,512GB,16GB,Free DOS,Free DOS,FX608JMR-QT040,FX608JMR-QT040","01c51f7b-abd5-4740-bdeb-b4a1c48ad011","2026-02-12 11:21:52.259908+00","failed_no_product_list","parse_after_confirmed_url","확정 URL까지는 갔지만 페이지 구조/결과 상태(0건 포함)로 상품 리스트 추출 실패","no_products_after_parse","input_not_found","false","https://www.asus.com/kr/","0","0","0",""
"ASUS","ASUS TUF Gaming A18 FA808UP-S8017 (SSD 512GB)","f17a925f-2f1d-4bf4-a9d0-cc791d1c817c","2026-02-12 11:25:26.766095+00","failed_no_product_list","parse_after_confirmed_url","확정 URL까지는 갔지만 페이지 구조/결과 상태(0건 포함)로 상품 리스트 추출 실패","no_products_after_parse","input_not_found","false","https://kr.store.asus.com/","0","0","0",""
"ASUS","에이수스 2025 ROG 제피러스 G14 라이젠9 지포스 RTX 5060,이클립스 그레이,이클립스 그레이,1TB,1TB,32GB,WIN11 Home,WIN11 Home,GA403UM-QS018W,GA403UM-QS018W","5deab7ae-f4ec-4b88-af8e-15a22877794c","2026-02-12 12:46:24.891886+00","failed_no_product_list","parse_after_confirmed_url","확정 URL까지는 갔지만 페이지 구조/결과 상태(0건 포함)로 상품 리스트 추출 실패","no_products_after_parse","input_not_found","false","https://rog.asus.com/kr/","0","0","0",""
